Participant,Prime,Probe,Nsurvived,Ntotal
jf,Sphere,Sphere,44,49
jf,Sphere,Quadro,42,44
jf,Sphere,Dual,38,52
jf,Sphere,Single,25,47
jf,Quadro,Sphere,44,49
jf,Quadro,Quadro,38,47
jf,Quadro,Dual,30,48
jf,Quadro,Single,27,52
jf,Dual,Sphere,33,47
jf,Dual,Quadro,37,56
jf,Dual,Dual,49,54
jf,Dual,Single,29,48
jf,Single,Sphere,30,47
jf,Single,Quadro,24,49
jf,Single,Dual,30,54
jf,Single,Single,33,47
ga,Sphere,Sphere,51,79
ga,Sphere,Quadro,64,79
ga,Sphere,Dual,29,80
ga,Sphere,Single,34,77
ga,Quadro,Sphere,51,80
ga,Quadro,Quadro,60,80
ga,Quadro,Dual,40,80
ga,Quadro,Single,39,79
ga,Dual,Sphere,35,80
ga,Dual,Quadro,41,78
ga,Dual,Dual,67,80
ga,Dual,Single,57,80
ga,Single,Sphere,38,80
ga,Single,Quadro,40,80
ga,Single,Dual,52,80
ga,Single,Single,55,78
al,Sphere,Sphere,64,79
al,Sphere,Quadro,58,79
al,Sphere,Dual,58,80
al,Sphere,Single,58,77
al,Quadro,Sphere,65,80
al,Quadro,Quadro,74,80
al,Quadro,Dual,71,80
al,Quadro,Single,64,79
al,Dual,Sphere,59,80
al,Dual,Quadro,63,78
al,Dual,Dual,68,80
al,Dual,Single,72,80
al,Single,Sphere,50,80
al,Single,Quadro,66,80
al,Single,Dual,66,80
al,Single,Single,76,78
jb,Sphere,Sphere,71,79
jb,Sphere,Quadro,72,79
jb,Sphere,Dual,71,80
jb,Sphere,Single,63,77
jb,Quadro,Sphere,74,80
jb,Quadro,Quadro,73,80
jb,Quadro,Dual,68,80
jb,Quadro,Single,64,79
jb,Dual,Sphere,71,80
jb,Dual,Quadro,66,78
jb,Dual,Dual,78,80
jb,Dual,Single,78,80
jb,Single,Sphere,69,80
jb,Single,Quadro,66,80
jb,Single,Dual,77,80
jb,Single,Single,78,78
kb,Sphere,Sphere,38,40
kb,Sphere,Quadro,34,39
kb,Sphere,Dual,31,40
kb,Sphere,Single,28,38
kb,Quadro,Sphere,36,40
kb,Quadro,Quadro,33,40
kb,Quadro,Dual,36,40
kb,Quadro,Single,28,40
kb,Dual,Sphere,31,40
kb,Dual,Quadro,33,38
kb,Dual,Dual,40,40
kb,Dual,Single,36,40
kb,Single,Sphere,29,40
kb,Single,Quadro,35,40
kb,Single,Dual,38,40
kb,Single,Single,39,40
